layer,name,channelId,follower,peak_45d,avg_45d,hours_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct,is_general_game,exclude_reason,peak_rank,avg_rank,vs_rank,point
C,아쿠루,78cc61cc55bb3fad7f027d717ce61630,11253,309,98.6,115.1,11347.0,0.88,1.0084,31.91,virtual_only,,292,224,350,288.0
C,도도리코 dodorico,d676df6bcb09c553c26a2e2b92542fd6,6702,378,98.1,372.4,36521.5,1.46,5.4493,25.95,true,,232,225,135,190.4
C,니르 Niru,e0b11eab54ad5ecf2306fdd2d7e4f5c2,6012,513,97.8,326.9,31958.3,1.63,5.3158,19.06,virtual_only,,177,226,160,189.8
C,포요,57609599a4cb3bb0e65325235f276e42,11073,227,95.9,109.2,10475.0,0.87,0.946,42.25,virtual_only,,364,228,385,318.0
C,융이 Yoong E,89bd1d5157cfb9eb41ceb7bf4c418db9,5622,545,95.7,347.8,33297.3,1.7,5.9227,17.56,virtual_only,,171,229,153,187.0
C,포냐,943e6cdde63d2e473fe85f238633effc,10337,338,95.4,182.7,17429.1,0.92,1.6861,28.22,virtual_only,,259,230,250,243.8
C,그리움 Rium,d98f5b684efeed1b27ddac078e9634fb,2591,1095,94.3,239.8,22611.6,3.64,8.727,8.61,virtual_only,,104,231,202,194.0
C,닝냉뇽,eef3f5d5d6b7fd4c7ee36b13c330fec0,3540,399,94.1,282.8,26625.5,2.66,7.5213,23.58,virtual_only,,222,232,180,209.2
C,아일라 Iyla,ff182197eed405b1130d22aa3a4fefa0,6286,666,93.9,183.8,17251.5,1.49,2.7444,14.1,virtual_only,,150,233,252,224.0
C,사사44,0ac23ae6672e2067492161839e29230e,9310,175,93.8,132.3,12408.7,1.01,1.3328,53.6,virtual_only,,415,235,328,308.2
C,미에에 메에,f2e993b9dcfb2ad3e62214a8cf534903,2219,328,93.5,155.4,14535.2,4.21,6.5503,28.51,virtual_only,,268,236,295,266.0
C,매화린 Maehwarin,c62ac389ebfc8942302298df5e9cd71b,3798,259,93.3,213.5,19921.1,2.46,5.2452,36.02,virtual_only,,330,237,221,249.2
C,애기용니블,1f509891909fafb5e0ba38cc73515359,4297,184,92.5,109.7,10142.8,2.15,2.3604,50.27,virtual_only,,395,238,401,334.6
C,망징이,5b1edd3b95c1513cb502ca2cdd391670,4426,857,92.0,162.1,14914.9,2.08,3.3698,10.74,virtual_only,,124,239,288,235.6
C,이 선,cffac6a96b6a2f625db9e6085c40d1c1,10920,262,91.7,217.6,19952.1,0.84,1.8271,35.0,virtual_only,,329,240,220,249.8
C,묭 이,58bb93cf187737941c1a84cace6a86c4,22115,176,91.3,191.1,17447.3,0.41,0.7889,51.87,virtual_only,,411,242,249,278.6
C,도라대장,934945011c0ed0da3ed719a349d3ba66,9405,376,91.2,186.1,16974.2,0.97,1.8048,24.26,virtual_only,,234,243,259,247.6
C,버찌 BUZZI,85fa9f08b940d363395f6b3f29b91c4c,2952,596,89.8,307.3,27595.4,3.04,9.348,15.07,virtual_only,,162,244,173,199.2
C,성피아,08d62f3e1de7ab06e8d3ad89aa7ca985,7953,773,89.5,197.5,17667.8,1.13,2.2215,11.58,virtual_only,,139,245,247,224.6
