layer,name,channelId,follower,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct
C,애기용니블,1f509891909fafb5e0ba38cc73515359,4297,334.6,395,238,401,109.7,184,92.5,10142.8,2.15,2.3604,50.27
C,망징이,5b1edd3b95c1513cb502ca2cdd391670,4426,235.6,124,239,288,162.1,857,92.0,14914.9,2.08,3.3698,10.74
C,이 선,cffac6a96b6a2f625db9e6085c40d1c1,10920,249.8,329,240,220,217.6,262,91.7,19952.1,0.84,1.8271,35.0
C,묭 이,58bb93cf187737941c1a84cace6a86c4,22115,278.6,411,242,249,191.1,176,91.3,17447.3,0.41,0.7889,51.87
C,도라대장,934945011c0ed0da3ed719a349d3ba66,9405,247.6,234,243,259,186.1,376,91.2,16974.2,0.97,1.8048,24.26
C,버찌 BUZZI,85fa9f08b940d363395f6b3f29b91c4c,2952,199.2,162,244,173,307.3,596,89.8,27595.4,3.04,9.348,15.07
C,성피아,08d62f3e1de7ab06e8d3ad89aa7ca985,7953,224.6,139,245,247,197.5,773,89.5,17667.8,1.13,2.2215,11.58
C,R리노아,2f1107218a8e549f7b9ec5a53c488d33,5502,285.6,358,246,289,167.2,233,89.2,14907.4,1.62,2.7095,38.28
C,이 소 에,343c202c69ba6d11b7ec51741f9591ac,3397,283.4,441,247,241,204.2,163,89.0,18168.4,2.62,5.3484,54.6
C,이 아니,eef5c2238f1667a915855c644ac4f975,9001,264.4,360,248,233,212.3,231,88.7,18838.3,0.99,2.0929,38.4
C,미도미도 마요,051f034c064edd60d48dee2a47bc0790,10203,247.6,268,249,236,210.9,328,88.7,18700.7,0.87,1.8329,27.04
C,요루야,44424fa93fae1f5b03a0479cac94f39c,6029,197.8,229,250,130,428.4,381,88.5,37916.9,1.47,6.2891,23.23
C,판자집강아지,37569f91da7035d9f33c2f73d23d7255,10967,277.0,415,251,234,215.6,175,87.4,18837.7,0.8,1.7177,49.94
C,냐오 NYAO,79ef1f5274b48fcb2de41b8ac8ea7ca1,7131,278.2,327,252,280,180.0,265,86.5,15576.2,1.21,2.1843,32.64
C,유키츠네,52f13f0fde6421312164730f1332a5f1,19633,224.6,199,253,209,248.7,453,85.6,21276.7,0.44,1.0837,18.9
C,다 비,56af48b6a7e165c24873fa29671a8d45,12332,242.4,374,254,165,349.1,199,85.1,29714.4,0.69,2.4095,42.76
C,마우쥐,b2854dc0735e55fa86c53bd15242d30f,12982,245.8,395,255,162,367.1,184,85.0,31214.9,0.65,2.4045,46.2
C,자연2,962abb83cc2513309966365813fdd288,4571,247.2,200,256,262,197.6,452,84.6,16708.4,1.85,3.6553,18.72
C,아무탈,0a07375b21a52bd69ff087fa5cc60f0d,15801,262.4,296,257,251,204.6,307,84.6,17299.8,0.54,1.0949,27.56
C,서겜,546376ebd956528b9d6250da63512f29,2304,283.4,411,258,245,210.0,176,84.2,17685.0,3.65,7.6758,47.84
C,미 랑,e9dbe302080c01d76fcd4aa6c8a05a64,3411,215.6,272,259,144,412.7,324,84.0,34658.9,2.46,10.1609,25.93
C,쿠마루,e6df84b539791aba763f533f87ce3342,8729,243.8,229,260,235,224.3,381,83.9,18825.9,0.96,2.1567,22.02
C,리미 VLUP,46d2e17ad675cb9c22546e11e9010ff2,5677,207.6,130,261,193,289.0,812,83.5,24141.5,1.47,4.2525,10.28
C,이루네 IRUNE,e984779fd445e71bfd8c99106e432bf1,6529,292.4,482,262,228,234.8,145,82.7,19421.2,1.27,2.9746,57.03
C,바니반희진,51d2b920e94da2731db5803d01b3c821,3175,270.4,320,263,253,207.2,268,82.4,17081.4,2.6,5.38,30.75
C,디또띠,b28d617a1d981cfff65d163f116cab7d,2321,282.8,202,265,341,143.3,443,82.1,11767.2,3.54,5.0699,18.53
C,사다새,9cc4bda5d0387d211f9b2123895db58b,1121,369.4,429,266,443,108.3,170,81.8,8857.8,7.3,7.9017,48.12
C,HaruNuna,7fc38b0da9a6280356c4e01dcb965c07,8673,379.0,441,267,460,104.0,163,81.2,8449.1,0.94,0.9742,49.82
C,해옥 HAEOK,e9591b517df39ffae2b9912cffa10e62,3810,245.8,377,268,158,396.5,198,81.2,32176.9,2.13,8.4454,41.01
C,코무키,010379f20da3ec9249bfe0bbdcb05762,3952,250.0,322,269,195,294.8,267,81.1,23894.0,2.05,6.0461,30.37
C,딸기 DDALGI,ddba126063cfa770d867aebfe37c318d,2593,248.8,240,270,232,234.0,367,81.0,18942.4,3.12,7.3052,22.07
C,김꼬멍,d61f69f7ff143364ed19314837262ea2,4688,279.0,263,272,294,182.6,335,80.2,14643.4,1.71,3.1236,23.94
C,밑줄밑줄,16fc49ff5ba7ec5d25a5a978cee3bdda,12054,280.2,335,273,260,211.2,257,80.0,16894.8,0.66,1.4016,31.13
C,몽새,9bcfc5ce252bd85444a45ae8a80ae5e8,3517,297.2,258,274,340,147.7,340,79.7,11772.4,2.27,3.3473,23.44
C,냐루비카페,3ef2872698aee4e944d808f27abca3a9,6845,282.2,449,275,206,270.5,159,79.6,21542.0,1.16,3.1471,50.06
C,유논 YUNON,575b8dd00630a025c9ad3729df908abf,8092,360.4,292,276,479,103.1,309,78.7,8118.7,0.97,1.0033,25.47
C,해득이,659dcc02fa42de17387db4c8d722f55c,2978,272.8,452,277,179,339.6,158,78.7,26739.9,2.64,8.9791,49.81
