layer,name,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d
C,라코유달,743.8,1001,664,695,179.5,65,30.5,5473.6
C,재울게,710.6,967,667,626,200.4,67,30.4,6094.7
C,덴 카시우스,635.2,864,668,488,259.9,77,30.4,7896.7
C,재온 JAEON,647.8,821,669,540,230.3,81,30.4,6996.1
C,율무율무,707.0,507,670,844,146.8,138,30.4,4456.3
C,우주 주,797.4,1211,671,717,176.5,53,30.2,5328.5
C,빛나람 starnaram,682.4,852,672,608,210.3,78,30.1,6339.7
C,권화련,660.0,1100,673,427,307.4,59,30.1,9266.5
C,배토Baeto,755.6,852,675,788,159.2,78,30.1,4786.4
C,카코이 유이,674.2,395,676,812,154.6,184,30.1,4646.4
C,귀털,741.8,1085,677,635,200.3,60,30.0,6018.4
C,디아푸,786.4,646,678,965,127.0,103,30.0,3812.2
