name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,sample
셉템버,naverchzzk,211af7e67b76aaa621e9aa7fb468d090,203,12,18,10,118,3390,16-20,리그 오브 레전드,35.7,이스케이프 프롬 타르코프,19.9,talk,17.9,8,true,multi_game,,sample_1_peak_10_50
어츄,naverchzzk,568c1f0a86448b075ac7ff597c407b88,205,4.1,36,29,117,1530,31-40,talk,42.7,레이튼 교수와 악마의 상자 HD,15.1,종합 게임,9.5,13,false,single_game_or_non_game,,sample_1_peak_10_50
데이빗96,naverchzzk,0a9315685a2938bf2c8a1a3c88ea537d,206,8.6,23,14,117,877,21-30,데드 바이 데이라이트,91.0,리그 오브 레전드,2.2,축구,2.1,8,false,single_game_dominant,,sample_1_peak_10_50
코메코,naverchzzk,6fdb2087d2d7d0349d0c194cfe1be0d9,207,4.9,29,24,116,1101,21-30,talk,48.2,종합 게임,37.9,PUBG: 배틀그라운드,5.8,5,true,gg_secondary,,sample_1_peak_10_50
이프이프 ifif,naverchzzk,4152d4882dee686b05288769bbdb6769,209,5.5,26,21,114,329,21-30,talk,34.6,명조:워더링 웨이브,10.0,이터널 리턴,8.2,14,false,single_game_or_non_game,,sample_1_peak_10_50
티아스 Tias,naverchzzk,a4fd197e164bec9a925c53ac4f831d07,210,11.6,16,10,114,234,16-20,종합 게임,87.4,이스케이프 프롬 타르코프,6.9,러시안 피싱 4,3.6,5,true,gg_primary,,sample_1_peak_10_50
이찰스,naverchzzk,37932eb04955f8cdd0ff7ea7892797ee,212,5,27,22,112,517,21-30,talk,67.1,종합 게임,15.9,007 퍼스트 라이트,10.2,7,false,talk_primary,,sample_1_peak_10_50
디단장,naverchzzk,81841392d80c54d99b2d278868072566,213,19.4,10,6,112,195,10-15,종합 게임,53.8,이터널 리턴,45.6,이환,0.7,3,true,gg_primary,,sample_1_peak_10_50
오세오,naverchzzk,06e643a1c28c3e2cd0b0d18c4fb360be,214,12.9,12,9,111,210,10-15,종합 게임,34.3,talk,31.9,오버워치,22.8,4,true,gg_primary,,sample_1_peak_10_50
시메빈,naverchzzk,dafbecf1decca1e06f49916683c85e48,215,16.2,10,7,110,177,10-15,종합 게임,33.6,이터널 리턴,27.7,림버스 컴퍼니,21.1,6,true,gg_primary,,sample_1_peak_10_50
선아린,naverchzzk,07f30d3d52452f3da6ae22fc3bf2c544,217,4.8,28,23,108,2913,21-30,PUBG: 배틀그라운드,47.8,talk,28.6,종합 게임,14.5,5,false,single_game_or_non_game,,sample_1_peak_10_50
